I	ένα
MMDCLXXIII	δύο χιλιάδες εξακόσια εβδομήντα τρία
MMDCLXXIV	δύο χιλιάδες εξακόσια εβδομήντα τέσσερα
MMDCLXXV	δύο χιλιάδες εξακόσια εβδομήντα πέντε
MMDCLXXVI	δύο χιλιάδες εξακόσια εβδομήντα έξι
MMDCLXXVII	δύο χιλιάδες εξακόσια εβδομήντα εφτά
MMDCLXXVIII	δύο χιλιάδες εξακόσια εβδομήντα οχτώ
MMDCLXXIX	δύο χιλιάδες εξακόσια εβδομήντα εννιά
MMDCLXXX	δύο χιλιάδες εξακόσια ογδόντα
MMDCLXXXI	δύο χιλιάδες εξακόσια ογδόντα ένα
MMDCLXXXII	δύο χιλιάδες εξακόσια ογδόντα δύο
MMDCLXXXIII	δύο χιλιάδες εξακόσια ογδόντα τρία
MMDCLXXXIV	δύο χιλιάδες εξακόσια ογδόντα τέσσερα
MMDCLXXXV	δύο χιλιάδες εξακόσια ογδόντα πέντε
MMDCLXXXVI	δύο χιλιάδες εξακόσια ογδόντα έξι
MMDCLXXXVII	δύο χιλιάδες εξακόσια ογδόντα εφτά
MMDCLXXXVIII	δύο χιλιάδες εξακόσια ογδόντα οχτώ
MMDCLXXXIX	δύο χιλιάδες εξακόσια ογδόντα εννιά
MMDCXC	δύο χιλιάδες εξακόσια ενενήντα
MMDCXCI	δύο χιλιάδες εξακόσια ενενήντα ένα
MMDCXCII	δύο χιλιάδες εξακόσια ενενήντα δύο
MMDCXCIII	δύο χιλιάδες εξακόσια ενενήντα τρία
MMDCXCIV	δύο χιλιάδες εξακόσια ενενήντα τέσσερα
MMDCXCV	δύο χιλιάδες εξακόσια ενενήντα πέντε
MMDCXCVI	δύο χιλιάδες εξακόσια ενενήντα έξι
MMDCXCVII	δύο χιλιάδες εξακόσια ενενήντα εφτά
MMDCXCVIII	δύο χιλιάδες εξακόσια ενενήντα οχτώ
MMDCXCIX	δύο χιλιάδες εξακόσια ενενήντα εννιά
MMDCC	δύο χιλιάδες εφτακόσια
MMDCCI	δύο χιλιάδες εφτακόσια ένα
MMDCCII	δύο χιλιάδες εφτακόσια δύο
MMDCCIII	δύο χιλιάδες εφτακόσια τρία
MMDCCIV	δύο χιλιάδες εφτακόσια τέσσερα
MMDCCV	δύο χιλιάδες εφτακόσια πέντε
MMDCCVI	δύο χιλιάδες εφτακόσια έξι
MMDCCVII	δύο χιλιάδες εφτακόσια εφτά
MMDCCVIII	δύο χιλιάδες εφτακόσια οχτώ
MMDCCIX	δύο χιλιάδες εφτακόσια εννιά
MMDCCX	δύο χιλιάδες εφτακόσια δέκα
MMDCCXI	δύο χιλιάδες εφτακόσια έντεκα
MMDCCXII	δύο χιλιάδες εφτακόσια δώδεκα
MMDCCXIII	δύο χιλιάδες εφτακόσια δεκατρία
MMDCCXIV	δύο χιλιάδες εφτακόσια δεκατέσσερα
MMDCCXV	δύο χιλιάδες εφτακόσια δεκαπέντε
MMDCCXVI	δύο χιλιάδες εφτακόσια δεκαέξι
MMDCCXVII	δύο χιλιάδες εφτακόσια δεκαεφτά
MMDCCXVIII	δύο χιλιάδες εφτακόσια δεκαοχτώ
MMDCCXIX	δύο χιλιάδες εφτακόσια δεκαεννιά
MMDCCXX	δύο χιλιάδες εφτακόσια είκοσι
MMDCCXXI	δύο χιλιάδες εφτακόσια είκοσι ένα
MMDCCXXII	δύο χιλιάδες εφτακόσια είκοσι δύο
MMDCCXXIII	δύο χιλιάδες εφτακόσια είκοσι τρία
MMDCCXXIV	δύο χιλιάδες εφτακόσια είκοσι τέσσερα
MMDCCXXV	δύο χιλιάδες εφτακόσια είκοσι πέντε
MMDCCXXVI	δύο χιλιάδες εφτακόσια είκοσι έξι
MMDCCXXVII	δύο χιλιάδες εφτακόσια είκοσι εφτά
MMDCCXXVIII	δύο χιλιάδες εφτακόσια είκοσι οχτώ
MMDCCXXIX	δύο χιλιάδες εφτακόσια είκοσι εννιά
MMDCCXXX	δύο χιλιάδες εφτακόσια τριάντα
MMDCCXXXI	δύο χιλιάδες εφτακόσια τριάντα ένα
MMDCCXXXII	δύο χιλιάδες εφτακόσια τριάντα δύο
MMDCCXXXIII	δύο χιλιάδες εφτακόσια τριάντα τρία
MMDCCXXXIV	δύο χιλιάδες εφτακόσια τριάντα τέσσερα
MMDCCXXXV	δύο χιλιάδες εφτακόσια τριάντα πέντε
MMDCCXXXVI	δύο χιλιάδες εφτακόσια τριάντα έξι
MMDCCXXXVII	δύο χιλιάδες εφτακόσια τριάντα εφτά
MMDCCXXXVIII	δύο χιλιάδες εφτακόσια τριάντα οχτώ
MMDCCXXXIX	δύο χιλιάδες εφτακόσια τριάντα εννιά
MMDCCXL	δύο χιλιάδες εφτακόσια σαράντα
MMDCCXLI	δύο χιλιάδες εφτακόσια σαράντα ένα
MMDCCXLII	δύο χιλιάδες εφτακόσια σαράντα δύο
MMDCCXLIII	δύο χιλιάδες εφτακόσια σαράντα τρία
MMDCCXLIV	δύο χιλιάδες εφτακόσια σαράντα τέσσερα
MMDCCXLV	δύο χιλιάδες εφτακόσια σαράντα πέντε
MMDCCXLVI	δύο χιλιάδες εφτακόσια σαράντα έξι
MMDCCXLVII	δύο χιλιάδες εφτακόσια σαράντα εφτά
MMDCCXLVIII	δύο χιλιάδες εφτακόσια σαράντα οχτώ
MMDCCXLIX	δύο χιλιάδες εφτακόσια σαράντα εννιά
MMDCCL	δύο χιλιάδες εφτακόσια πενήντα
MMDCCLI	δύο χιλιάδες εφτακόσια πενήντα ένα
MMDCCLII	δύο χιλιάδες εφτακόσια πενήντα δύο
MMDCCLIII	δύο χιλιάδες εφτακόσια πενήντα τρία
MMDCCLIV	δύο χιλιάδες εφτακόσια πενήντα τέσσερα
MMDCCLV	δύο χιλιάδες εφτακόσια πενήντα πέντε
MMDCCLVI	δύο χιλιάδες εφτακόσια πενήντα έξι
MMDCCLVII	δύο χιλιάδες εφτακόσια πενήντα εφτά
MMDCCLVIII	δύο χιλιάδες εφτακόσια πενήντα οχτώ
MMDCCLIX	δύο χιλιάδες εφτακόσια πενήντα εννιά
MMDCCLX	δύο χιλιάδες εφτακόσια εξήντα
MMDCCLXI	δύο χιλιάδες εφτακόσια εξήντα ένα
MMDCCLXII	δύο χιλιάδες εφτακόσια εξήντα δύο
MMDCCLXIII	δύο χιλιάδες εφτακόσια εξήντα τρία
MMDCCLXIV	δύο χιλιάδες εφτακόσια εξήντα τέσσερα
MMDCCLXV	δύο χιλιάδες εφτακόσια εξήντα πέντε
MMDCCLXVI	δύο χιλιάδες εφτακόσια εξήντα έξι
MMDCCLXVII	δύο χιλιάδες εφτακόσια εξήντα εφτά
MMDCCLXVIII	δύο χιλιάδες εφτακόσια εξήντα οχτώ
MMDCCLXIX	δύο χιλιάδες εφτακόσια εξήντα εννιά
MMDCCLXX	δύο χιλιάδες εφτακόσια εβδομήντα
MMDCCLXXI	δύο χιλιάδες εφτακόσια εβδομήντα ένα
MMDCCLXXII	δύο χιλιάδες εφτακόσια εβδομήντα δύο
MMDCCLXXIII	δύο χιλιάδες εφτακόσια εβδομήντα τρία
MMDCCLXXIV	δύο χιλιάδες εφτακόσια εβδομήντα τέσσερα
MMDCCLXXV	δύο χιλιάδες εφτακόσια εβδομήντα πέντε
MMDCCLXXVI	δύο χιλιάδες εφτακόσια εβδομήντα έξι
MMDCCLXXVII	δύο χιλιάδες εφτακόσια εβδομήντα εφτά
MMDCCLXXVIII	δύο χιλιάδες εφτακόσια εβδομήντα οχτώ
MMDCCLXXIX	δύο χιλιάδες εφτακόσια εβδομήντα εννιά
MMDCCLXXX	δύο χιλιάδες εφτακόσια ογδόντα
MMDCCLXXXI	δύο χιλιάδες εφτακόσια ογδόντα ένα
MMDCCLXXXII	δύο χιλιάδες εφτακόσια ογδόντα δύο
MMDCCLXXXIII	δύο χιλιάδες εφτακόσια ογδόντα τρία
MMDCCLXXXIV	δύο χιλιάδες εφτακόσια ογδόντα τέσσερα
MMDCCLXXXV	δύο χιλιάδες εφτακόσια ογδόντα πέντε
MMDCCLXXXVI	δύο χιλιάδες εφτακόσια ογδόντα έξι
MMDCCLXXXVII	δύο χιλιάδες εφτακόσια ογδόντα εφτά
MMDCCLXXXVIII	δύο χιλιάδες εφτακόσια ογδόντα οχτώ
MMDCCLXXXIX	δύο χιλιάδες εφτακόσια ογδόντα εννιά
MMDCCXC	δύο χιλιάδες εφτακόσια ενενήντα
MMDCCXCI	δύο χιλιάδες εφτακόσια ενενήντα ένα
MMDCCXCII	δύο χιλιάδες εφτακόσια ενενήντα δύο
MMDCCXCIII	δύο χιλιάδες εφτακόσια ενενήντα τρία
MMDCCXCIV	δύο χιλιάδες εφτακόσια ενενήντα τέσσερα
MMDCCXCV	δύο χιλιάδες εφτακόσια ενενήντα πέντε
MMDCCXCVI	δύο χιλιάδες εφτακόσια ενενήντα έξι
MMDCCXCVII	δύο χιλιάδες εφτακόσια ενενήντα εφτά
MMDCCXCVIII	δύο χιλιάδες εφτακόσια ενενήντα οχτώ
MMDCCXCIX	δύο χιλιάδες εφτακόσια ενενήντα εννιά
MMDCCC	δύο χιλιάδες οχτακόσια
MMDCCCI	δύο χιλιάδες οχτακόσια ένα
MMDCCCII	δύο χιλιάδες οχτακόσια δύο
MMDCCCIII	δύο χιλιάδες οχτακόσια τρία
MMDCCCIV	δύο χιλιάδες οχτακόσια τέσσερα
MMDCCCV	δύο χιλιάδες οχτακόσια πέντε
MMDCCCVI	δύο χιλιάδες οχτακόσια έξι
MMDCCCVII	δύο χιλιάδες οχτακόσια εφτά
MMDCCCVIII	δύο χιλιάδες οχτακόσια οχτώ
MMDCCCIX	δύο χιλιάδες οχτακόσια εννιά
MMDCCCX	δύο χιλιάδες οχτακόσια δέκα
MMDCCCXI	δύο χιλιάδες οχτακόσια έντεκα
MMDCCCXII	δύο χιλιάδες οχτακόσια δώδεκα
MMDCCCXIII	δύο χιλιάδες οχτακόσια δεκατρία
MMDCCCXIV	δύο χιλιάδες οχτακόσια δεκατέσσερα
MMDCCCXV	δύο χιλιάδες οχτακόσια δεκαπέντε
MMDCCCXVI	δύο χιλιάδες οχτακόσια δεκαέξι
MMDCCCXVII	δύο χιλιάδες οχτακόσια δεκαεφτά
MMDCCCXVIII	δύο χιλιάδες οχτακόσια δεκαοχτώ
MMDCCCXIX	δύο χιλιάδες οχτακόσια δεκαεννιά
MMDCCCXX	δύο χιλιάδες οχτακόσια είκοσι
MMDCCCXXI	δύο χιλιάδες οχτακόσια είκοσι ένα
MMDCCCXXII	δύο χιλιάδες οχτακόσια είκοσι δύο
MMDCCCXXIII	δύο χιλιάδες οχτακόσια είκοσι τρία
MMDCCCXXIV	δύο χιλιάδες οχτακόσια είκοσι τέσσερα
MMDCCCXXV	δύο χιλιάδες οχτακόσια είκοσι πέντε
MMDCCCXXVI	δύο χιλιάδες οχτακόσια είκοσι έξι
MMDCCCXXVII	δύο χιλιάδες οχτακόσια είκοσι εφτά
MMDCCCXXVIII	δύο χιλιάδες οχτακόσια είκοσι οχτώ
MMDCCCXXIX	δύο χιλιάδες οχτακόσια είκοσι εννιά
MMDCCCXXX	δύο χιλιάδες οχτακόσια τριάντα
MMDCCCXXXI	δύο χιλιάδες οχτακόσια τριάντα ένα
MMDCCCXXXII	δύο χιλιάδες οχτακόσια τριάντα δύο
MMDCCCXXXIII	δύο χιλιάδες οχτακόσια τριάντα τρία
MMDCCCXXXIV	δύο χιλιάδες οχτακόσια τριάντα τέσσερα
MMDCCCXXXV	δύο χιλιάδες οχτακόσια τριάντα πέντε
MMDCCCXXXVI	δύο χιλιάδες οχτακόσια τριάντα έξι
MMDCCCXXXVII	δύο χιλιάδες οχτακόσια τριάντα εφτά
MMDCCCXXXVIII	δύο χιλιάδες οχτακόσια τριάντα οχτώ
MMDCCCXXXIX	δύο χιλιάδες οχτακόσια τριάντα εννιά
MMDCCCXL	δύο χιλιάδες οχτακόσια σαράντα
MMDCCCXLI	δύο χιλιάδες οχτακόσια σαράντα ένα
MMDCCCXLII	δύο χιλιάδες οχτακόσια σαράντα δύο
MMDCCCXLIII	δύο χιλιάδες οχτακόσια σαράντα τρία
MMDCCCXLIV	δύο χιλιάδες οχτακόσια σαράντα τέσσερα
MMDCCCXLV	δύο χιλιάδες οχτακόσια σαράντα πέντε
MMDCCCXLVI	δύο χιλιάδες οχτακόσια σαράντα έξι
MMDCCCXLVII	δύο χιλιάδες οχτακόσια σαράντα εφτά
MMDCCCXLVIII	δύο χιλιάδες οχτακόσια σαράντα οχτώ
MMDCCCXLIX	δύο χιλιάδες οχτακόσια σαράντα εννιά
MMDCCCL	δύο χιλιάδες οχτακόσια πενήντα
MMDCCCLI	δύο χιλιάδες οχτακόσια πενήντα ένα
MMDCCCLII	δύο χιλιάδες οχτακόσια πενήντα δύο
MMDCCCLIII	δύο χιλιάδες οχτακόσια πενήντα τρία
MMDCCCLIV	δύο χιλιάδες οχτακόσια πενήντα τέσσερα
MMDCCCLV	δύο χιλιάδες οχτακόσια πενήντα πέντε
MMDCCCLVI	δύο χιλιάδες οχτακόσια πενήντα έξι
MMDCCCLVII	δύο χιλιάδες οχτακόσια πενήντα εφτά
MMDCCCLVIII	δύο χιλιάδες οχτακόσια πενήντα οχτώ
MMDCCCLIX	δύο χιλιάδες οχτακόσια πενήντα εννιά
MMDCCCLX	δύο χιλιάδες οχτακόσια εξήντα
MMDCCCLXI	δύο χιλιάδες οχτακόσια εξήντα ένα
MMDCCCLXII	δύο χιλιάδες οχτακόσια εξήντα δύο
MMDCCCLXIII	δύο χιλιάδες οχτακόσια εξήντα τρία
MMDCCCLXIV	δύο χιλιάδες οχτακόσια εξήντα τέσσερα
MMDCCCLXV	δύο χιλιάδες οχτακόσια εξήντα πέντε
MMDCCCLXVI	δύο χιλιάδες οχτακόσια εξήντα έξι
MMDCCCLXVII	δύο χιλιάδες οχτακόσια εξήντα εφτά
MMDCCCLXVIII	δύο χιλιάδες οχτακόσια εξήντα οχτώ
MMDCCCLXIX	δύο χιλιάδες οχτακόσια εξήντα εννιά
MMDCCCLXX	δύο χιλιάδες οχτακόσια εβδομήντα
MMDCCCLXXI	δύο χιλιάδες οχτακόσια εβδομήντα ένα
MMDCCCLXXII	δύο χιλιάδες οχτακόσια εβδομήντα δύο
MMDCCCLXXIII	δύο χιλιάδες οχτακόσια εβδομήντα τρία
MMDCCCLXXIV	δύο χιλιάδες οχτακόσια εβδομήντα τέσσερα
MMDCCCLXXV	δύο χιλιάδες οχτακόσια εβδομήντα πέντε
MMDCCCLXXVI	δύο χιλιάδες οχτακόσια εβδομήντα έξι
MMDCCCLXXVII	δύο χιλιάδες οχτακόσια εβδομήντα εφτά
MMDCCCLXXVIII	δύο χιλιάδες οχτακόσια εβδομήντα οχτώ
MMDCCCLXXIX	δύο χιλιάδες οχτακόσια εβδομήντα εννιά
MMDCCCLXXX	δύο χιλιάδες οχτακόσια ογδόντα
MMDCCCLXXXI	δύο χιλιάδες οχτακόσια ογδόντα ένα
MMDCCCLXXXII	δύο χιλιάδες οχτακόσια ογδόντα δύο
MMDCCCLXXXIII	δύο χιλιάδες οχτακόσια ογδόντα τρία
MMDCCCLXXXIV	δύο χιλιάδες οχτακόσια ογδόντα τέσσερα
MMDCCCLXXXV	δύο χιλιάδες οχτακόσια ογδόντα πέντε
MMDCCCLXXXVI	δύο χιλιάδες οχτακόσια ογδόντα έξι
MMDCCCLXXXVII	δύο χιλιάδες οχτακόσια ογδόντα εφτά
MMDCCCLXXXVIII	δύο χιλιάδες οχτακόσια ογδόντα οχτώ
MMDCCCLXXXIX	δύο χιλιάδες οχτακόσια ογδόντα εννιά
MMDCCCXC	δύο χιλιάδες οχτακόσια ενενήντα
MMDCCCXCI	δύο χιλιάδες οχτακόσια ενενήντα ένα
MMDCCCXCII	δύο χιλιάδες οχτακόσια ενενήντα δύο
MMDCCCXCIII	δύο χιλιάδες οχτακόσια ενενήντα τρία
MMDCCCXCIV	δύο χιλιάδες οχτακόσια ενενήντα τέσσερα
MMDCCCXCV	δύο χιλιάδες οχτακόσια ενενήντα πέντε
MMDCCCXCVI	δύο χιλιάδες οχτακόσια ενενήντα έξι
MMDCCCXCVII	δύο χιλιάδες οχτακόσια ενενήντα εφτά
MMDCCCXCVIII	δύο χιλιάδες οχτακόσια ενενήντα οχτώ
MMDCCCXCIX	δύο χιλιάδες οχτακόσια ενενήντα εννιά
MMCM	δύο χιλιάδες εννιακόσια
MMCMI	δύο χιλιάδες εννιακόσια ένα
MMCMII	δύο χιλιάδες εννιακόσια δύο
MMCMIII	δύο χιλιάδες εννιακόσια τρία
MMCMIV	δύο χιλιάδες εννιακόσια τέσσερα
MMCMV	δύο χιλιάδες εννιακόσια πέντε
MMCMVI	δύο χιλιάδες εννιακόσια έξι
MMCMVII	δύο χιλιάδες εννιακόσια εφτά
MMCMVIII	δύο χιλιάδες εννιακόσια οχτώ
MMCMIX	δύο χιλιάδες εννιακόσια εννιά
MMCMX	δύο χιλιάδες εννιακόσια δέκα
MMCMXI	δύο χιλιάδες εννιακόσια έντεκα
MMCMXII	δύο χιλιάδες εννιακόσια δώδεκα
MMCMXIII	δύο χιλιάδες εννιακόσια δεκατρία
MMCMXIV	δύο χιλιάδες εννιακόσια δεκατέσσερα
MMCMXV	δύο χιλιάδες εννιακόσια δεκαπέντε
MMCMXVI	δύο χιλιάδες εννιακόσια δεκαέξι
MMCMXVII	δύο χιλιάδες εννιακόσια δεκαεφτά
MMCMXVIII	δύο χιλιάδες εννιακόσια δεκαοχτώ
MMCMXIX	δύο χιλιάδες εννιακόσια δεκαεννιά
MMCMXX	δύο χιλιάδες εννιακόσια είκοσι
MMCMXXI	δύο χιλιάδες εννιακόσια είκοσι ένα
MMCMXXII	δύο χιλιάδες εννιακόσια είκοσι δύο
MMCMXXIII	δύο χιλιάδες εννιακόσια είκοσι τρία
MMCMXXIV	δύο χιλιάδες εννιακόσια είκοσι τέσσερα
MMCMXXV	δύο χιλιάδες εννιακόσια είκοσι πέντε
MMCMXXVI	δύο χιλιάδες εννιακόσια είκοσι έξι
MMCMXXVII	δύο χιλιάδες εννιακόσια είκοσι εφτά
MMCMXXVIII	δύο χιλιάδες εννιακόσια είκοσι οχτώ
MMCMXXIX	δύο χιλιάδες εννιακόσια είκοσι εννιά
MMCMXXX	δύο χιλιάδες εννιακόσια τριάντα
MMCMXXXI	δύο χιλιάδες εννιακόσια τριάντα ένα
MMCMXXXII	δύο χιλιάδες εννιακόσια τριάντα δύο
MMCMXXXIII	δύο χιλιάδες εννιακόσια τριάντα τρία
MMCMXXXIV	δύο χιλιάδες εννιακόσια τριάντα τέσσερα
MMCMXXXV	δύο χιλιάδες εννιακόσια τριάντα πέντε
MMCMXXXVI	δύο χιλιάδες εννιακόσια τριάντα έξι
MMCMXXXVII	δύο χιλιάδες εννιακόσια τριάντα εφτά
MMCMXXXVIII	δύο χιλιάδες εννιακόσια τριάντα οχτώ
MMCMXXXIX	δύο χιλιάδες εννιακόσια τριάντα εννιά
MMCMXL	δύο χιλιάδες εννιακόσια σαράντα
MMCMXLI	δύο χιλιάδες εννιακόσια σαράντα ένα
MMCMXLII	δύο χιλιάδες εννιακόσια σαράντα δύο
MMCMXLIII	δύο χιλιάδες εννιακόσια σαράντα τρία
MMCMXLIV	δύο χιλιάδες εννιακόσια σαράντα τέσσερα
MMCMXLV	δύο χιλιάδες εννιακόσια σαράντα πέντε
MMCMXLVI	δύο χιλιάδες εννιακόσια σαράντα έξι
MMCMXLVII	δύο χιλιάδες εννιακόσια σαράντα εφτά
MMCMXLVIII	δύο χιλιάδες εννιακόσια σαράντα οχτώ
MMCMXLIX	δύο χιλιάδες εννιακόσια σαράντα εννιά
MMCML	δύο χιλιάδες εννιακόσια πενήντα
MMCMLI	δύο χιλιάδες εννιακόσια πενήντα ένα
MMCMLII	δύο χιλιάδες εννιακόσια πενήντα δύο
MMCMLIII	δύο χιλιάδες εννιακόσια πενήντα τρία
MMCMLIV	δύο χιλιάδες εννιακόσια πενήντα τέσσερα
MMCMLV	δύο χιλιάδες εννιακόσια πενήντα πέντε
MMCMLVI	δύο χιλιάδες εννιακόσια πενήντα έξι
MMCMLVII	δύο χιλιάδες εννιακόσια πενήντα εφτά
MMCMLVIII	δύο χιλιάδες εννιακόσια πενήντα οχτώ
MMCMLIX	δύο χιλιάδες εννιακόσια πενήντα εννιά
MMCMLX	δύο χιλιάδες εννιακόσια εξήντα
MMCMLXI	δύο χιλιάδες εννιακόσια εξήντα ένα
MMCMLXII	δύο χιλιάδες εννιακόσια εξήντα δύο
MMCMLXIII	δύο χιλιάδες εννιακόσια εξήντα τρία
MMCMLXIV	δύο χιλιάδες εννιακόσια εξήντα τέσσερα
MMCMLXV	δύο χιλιάδες εννιακόσια εξήντα πέντε
MMCMLXVI	δύο χιλιάδες εννιακόσια εξήντα έξι
MMCMLXVII	δύο χιλιάδες εννιακόσια εξήντα εφτά
MMCMLXVIII	δύο χιλιάδες εννιακόσια εξήντα οχτώ
MMCMLXIX	δύο χιλιάδες εννιακόσια εξήντα εννιά
MMCMLXX	δύο χιλιάδες εννιακόσια εβδομήντα
MMCMLXXI	δύο χιλιάδες εννιακόσια εβδομήντα ένα
MMCMLXXII	δύο χιλιάδες εννιακόσια εβδομήντα δύο
MMCMLXXIII	δύο χιλιάδες εννιακόσια εβδομήντα τρία
MMCMLXXIV	δύο χιλιάδες εννιακόσια εβδομήντα τέσσερα
MMCMLXXV	δύο χιλιάδες εννιακόσια εβδομήντα πέντε
MMCMLXXVI	δύο χιλιάδες εννιακόσια εβδομήντα έξι
MMCMLXXVII	δύο χιλιάδες εννιακόσια εβδομήντα εφτά
MMCMLXXVIII	δύο χιλιάδες εννιακόσια εβδομήντα οχτώ
MMCMLXXIX	δύο χιλιάδες εννιακόσια εβδομήντα εννιά
MMCMLXXX	δύο χιλιάδες εννιακόσια ογδόντα
MMCMLXXXI	δύο χιλιάδες εννιακόσια ογδόντα ένα
MMCMLXXXII	δύο χιλιάδες εννιακόσια ογδόντα δύο
MMCMLXXXIII	δύο χιλιάδες εννιακόσια ογδόντα τρία
MMCMLXXXIV	δύο χιλιάδες εννιακόσια ογδόντα τέσσερα
MMCMLXXXV	δύο χιλιάδες εννιακόσια ογδόντα πέντε
MMCMLXXXVI	δύο χιλιάδες εννιακόσια ογδόντα έξι
MMCMLXXXVII	δύο χιλιάδες εννιακόσια ογδόντα εφτά
MMCMLXXXVIII	δύο χιλιάδες εννιακόσια ογδόντα οχτώ
MMCMLXXXIX	δύο χιλιάδες εννιακόσια ογδόντα εννιά
MMCMXC	δύο χιλιάδες εννιακόσια ενενήντα
MMCMXCI	δύο χιλιάδες εννιακόσια ενενήντα ένα
MMCMXCII	δύο χιλιάδες εννιακόσια ενενήντα δύο
MMCMXCIII	δύο χιλιάδες εννιακόσια ενενήντα τρία
MMCMXCIV	δύο χιλιάδες εννιακόσια ενενήντα τέσσερα
MMCMXCV	δύο χιλιάδες εννιακόσια ενενήντα πέντε
MMCMXCVI	δύο χιλιάδες εννιακόσια ενενήντα έξι
MMCMXCVII	δύο χιλιάδες εννιακόσια ενενήντα εφτά
MMCMXCVIII	δύο χιλιάδες εννιακόσια ενενήντα οχτώ
MMCMXCIX	δύο χιλιάδες εννιακόσια ενενήντα εννιά
MMM	τρεις χιλιάδες
